Borrower_ID,Age,Employment_Type,Monthly_Income,Num_Dependents,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Num_Missed_Payments,Days_Past_Due,Collection_Method,Num_Recovery_Attempts,Legal_Action_Taken,Recovery_Status
BOR_00041,42,Salaried,2819.2,1,85128.39,120,16.42,124636.98,16284.06,1448.28,5,166,Phone,5,0,Full Recovery
BOR_00042,36,Self-employed,7527.33,0,521916.15,36,10.1,201066.82,258927.25,16865.4,0,0,Phone,2,0,Partial Recovery
BOR_00043,33,Salaried,4802.82,2,180409.5,24,10.63,123434.52,94881.36,8377.69,2,2,SMS,4,0,Write-off
BOR_00044,31,Salaried,5037.7,1,341634.12,36,8.54,15383.9,74139.99,10791.26,3,97,Phone,5,0,Partial Recovery
BOR_00045,20,Salaried,5133.14,1,158621.57,24,10.87,94513.28,81589.76,7383.7,1,37,Email,4,0,Partial Recovery
BOR_00046,27,Salaried,5466.43,1,419054.76,48,13.61,359121.56,239960.09,11370.06,2,19,Email,5,0,Partial Recovery
BOR_00047,30,Business,9859.41,1,525691.21,36,8.76,751573.85,386951.68,16657.89,1,46,SMS,4,0,Partial Recovery
BOR_00048,45,Self-employed,4717.81,1,348158.61,60,9.18,269859.15,36003.72,7257.12,2,58,SMS,4,0,Partial Recovery
BOR_00049,38,Self-employed,2468.91,3,137303.37,36,12.38,168699.29,73642.67,4585.11,1,57,SMS,2,0,Write-off
BOR_00050,18,Salaried,4578.41,1,353953.54,48,11.78,290486.65,205165.19,9283.03,1,16,Email,6,0,Write-off
BOR_00051,38,Salaried,2712.55,0,88201.6,12,11.5,5395.95,47781.19,7815.94,4,64,Email,1,0,Write-off
BOR_00052,31,Salaried,5217.12,0,164983.78,48,13.06,77956.88,49870.42,4431.29,3,174,Email,1,0,Partial Recovery
BOR_00053,28,Retired,1973.42,1,72627.26,60,11.24,62700.87,14733.58,1587.74,3,99,Field Visit,1,0,Full Recovery
BOR_00054,41,Salaried,4583.77,3,206538.91,24,10.61,294501.97,34846.25,9588.61,1,12,Email,2,0,Write-off
BOR_00055,45,Business,6614.39,0,282653.87,36,10.85,364254.78,192369.33,9233.91,1,42,Phone,1,0,Partial Recovery
BOR_00056,44,Self-employed,500.0,0,39664.24,12,13.42,13586.33,6990.97,3550.56,3,73,SMS,2,0,Write-off
BOR_00057,26,Salaried,3902.55,2,127384.29,48,8.38,42057.8,22757.5,3132.69,5,70,Email,8,0,Partial Recovery
BOR_00058,31,Self-employed,4232.11,0,303958.71,36,11.69,91722.41,151568.33,10050.7,1,53,Field Visit,5,1,Partial Recovery
BOR_00059,38,Salaried,5319.71,0,308967.46,24,9.38,427533.21,27798.17,14169.57,5,54,Email,2,0,Write-off
BOR_00060,44,Business,3916.97,1,179949.2,48,9.47,230154.89,134462.55,4518.38,1,4,SMS,1,0,Full Recovery
BOR_00061,30,Unemployed,1632.85,0,58483.25,84,10.18,67976.56,20653.99,976.21,2,16,Phone,2,0,Full Recovery
BOR_00062,33,Salaried,3267.65,1,229176.23,60,10.08,135008.33,176718.48,4878.4,2,36,Email,5,1,Write-off
BOR_00063,23,Salaried,5551.13,1,204178.0,24,12.88,154475.17,69764.67,9695.68,1,7,Email,5,0,Write-off
BOR_00064,23,Self-employed,4054.39,0,251941.05,60,14.56,175476.34,113808.48,5935.94,2,28,Field Visit,2,0,Write-off
BOR_00065,43,Unemployed,676.89,2,43724.4,24,14.43,16619.52,25317.9,2108.32,2,38,Legal Notice,4,1,Write-off
BOR_00066,48,Salaried,10260.75,1,739899.19,24,8.51,560504.76,599804.05,33635.21,2,51,Email,1,0,Write-off
BOR_00067,34,Self-employed,1015.91,1,66200.63,36,17.36,3028.34,22835.76,2372.12,2,14,Field Visit,1,0,Write-off
BOR_00068,45,Self-employed,6297.89,3,393698.16,12,14.63,77840.25,109640.26,35466.76,3,153,SMS,1,1,Write-off
BOR_00069,38,Self-employed,6501.46,0,279093.6,36,10.82,371162.23,62793.53,9112.84,0,0,Legal Notice,5,0,Partial Recovery
BOR_00070,28,Salaried,3658.76,0,119133.66,36,8.86,134325.54,62480.12,3780.84,4,65,Field Visit,2,0,Full Recovery
BOR_00071,38,Self-employed,7481.16,3,374421.12,36,13.41,237496.3,255129.04,12689.77,1,41,Phone,4,0,Partial Recovery
BOR_00072,50,Unemployed,1049.97,1,73664.49,24,12.93,57143.43,48648.23,3499.81,0,0,SMS,4,1,Write-off
BOR_00073,34,Salaried,5577.39,3,271438.38,24,13.59,150647.85,202435.23,12979.92,1,26,Email,5,0,Write-off
BOR_00074,50,Salaried,6624.77,2,433004.51,24,10.57,481141.53,322549.5,20094.48,0,0,Phone,4,0,Write-off
BOR_00075,18,Retired,1514.04,4,53430.94,48,10.97,62849.78,17437.71,1380.2,1,7,Phone,3,0,Partial Recovery
BOR_00076,43,Salaried,6621.62,2,525072.4,60,10.73,601169.98,14705.35,11346.21,1,43,Legal Notice,3,0,Partial Recovery
BOR_00077,35,Business,9380.47,4,552773.95,84,11.88,599161.41,201025.56,9722.15,2,13,Legal Notice,3,0,Partial Recovery
BOR_00078,32,Salaried,1502.94,1,58201.08,36,16.75,17853.56,41082.87,2067.65,2,11,Field Visit,5,0,Write-off
BOR_00079,35,Salaried,7608.68,1,473340.96,48,14.07,239962.55,113701.73,12950.83,0,0,Legal Notice,4,0,Write-off
BOR_00080,18,Business,1610.02,3,120266.27,84,8.66,84759.84,81366.13,1914.53,2,21,Field Visit,3,0,Partial Recovery
BOR_00081,32,Salaried,7065.09,2,404167.8,48,13.3,200543.81,191188.71,10902.78,2,39,Phone,2,1,Write-off
BOR_00082,38,Self-employed,6816.76,0,411294.91,24,13.58,465754.59,200483.45,19666.32,3,65,Phone,4,0,Partial Recovery
BOR_00083,49,Salaried,3381.68,0,223209.74,12,11.25,110272.37,152593.49,19753.34,5,58,Phone,5,1,Write-off
BOR_00084,29,Self-employed,2972.96,1,115050.36,36,8.13,23855.48,40618.47,3611.98,2,1,Phone,1,0,Full Recovery
BOR_00085,26,Salaried,2788.59,2,139475.53,36,12.34,83484.57,109407.05,4655.07,1,28,Phone,5,1,Partial Recovery
BOR_00086,29,Salaried,4570.16,1,288717.52,60,9.51,424377.7,161938.22,6064.77,2,26,Email,5,1,Partial Recovery
BOR_00087,44,Retired,1753.57,3,63170.86,60,11.25,21403.68,55547.61,1381.47,0,0,Field Visit,2,0,Full Recovery
BOR_00088,38,Salaried,6559.32,3,516467.85,60,11.51,474240.4,256634.95,11360.07,5,65,Field Visit,2,0,Write-off
BOR_00089,29,Self-employed,7275.77,0,575303.08,12,10.12,373636.09,203740.89,50610.79,1,3,SMS,2,0,Partial Recovery
BOR_00090,40,Salaried,7791.37,0,482373.08,36,14.5,51390.51,360924.85,16603.43,1,26,Legal Notice,2,1,Write-off
BOR_00091,35,Business,5313.5,2,176840.08,36,12.14,129414.2,91308.18,5885.12,1,47,Email,4,1,Full Recovery
BOR_00092,44,Salaried,4581.56,4,286972.22,24,10.55,302252.48,44410.63,13315.54,2,43,Field Visit,3,0,Write-off
BOR_00093,27,Retired,653.25,1,47154.18,24,20.27,36300.7,41284.63,2406.14,1,52,Email,1,0,Partial Recovery
BOR_00094,31,Salaried,3388.26,0,196968.94,60,13.0,257666.7,106717.85,4481.17,3,31,Phone,5,0,Partial Recovery
BOR_00095,31,Salaried,6929.7,1,279790.75,48,14.07,121262.86,229504.9,7656.09,4,175,Legal Notice,2,0,Write-off
BOR_00096,20,Salaried,6584.93,1,339820.79,84,11.17,43963.89,184192.64,5848.17,2,20,Email,3,1,Partial Recovery
BOR_00097,37,Salaried,2531.3,2,94010.75,36,17.61,132070.85,24762.45,3380.52,2,59,Email,1,0,Partial Recovery
BOR_00098,37,Self-employed,2518.84,1,115831.45,60,14.17,65710.55,67733.25,2705.34,2,15,Email,1,1,Full Recovery
BOR_00099,35,Salaried,4947.19,2,235037.59,12,13.07,203215.46,152830.17,21000.85,2,28,SMS,3,1,Partial Recovery
BOR_00100,32,Business,7840.48,0,357334.86,60,11.1,424515.48,106736.83,7786.91,1,21,Legal Notice,2,1,Full Recovery
BOR_00101,20,Salaried,2704.63,2,146762.49,60,10.68,71395.62,56700.98,3167.35,2,21,Phone,2,0,Partial Recovery
BOR_00102,30,Salaried,5848.12,4,305016.8,36,10.57,327663.33,146212.42,9924.06,2,51,Field Visit,3,0,Write-off
BOR_00103,31,Self-employed,2815.4,3,158499.59,60,10.53,32195.75,130845.31,3409.32,2,45,Phone,2,0,Write-off
BOR_00104,26,Self-employed,3963.87,0,222819.94,48,9.89,97359.08,22943.11,5639.11,5,179,Email,3,0,Write-off
BOR_00105,33,Salaried,6092.57,2,267318.39,84,13.06,58025.72,125234.19,4872.46,2,37,Phone,5,0,Partial Recovery
BOR_00106,39,Salaried,5012.84,2,295052.69,48,8.21,359033.64,211201.12,7231.54,3,99,Field Visit,3,0,Partial Recovery
BOR_00107,53,Salaried,4952.67,1,301643.34,36,11.82,100740.99,53737.0,9993.0,0,0,Phone,5,0,Write-off
BOR_00108,36,Self-employed,3725.98,0,178739.48,12,9.35,192342.51,177348.21,15660.34,2,5,SMS,4,0,Write-off
BOR_00109,37,Self-employed,3779.09,2,293020.39,36,11.27,414608.5,216281.0,9630.17,2,60,Phone,4,0,Write-off
BOR_00110,34,Salaried,4259.98,2,139026.47,12,13.02,110061.46,26976.1,12418.79,1,33,Phone,4,0,Partial Recovery
BOR_00111,18,Business,4978.89,0,283322.38,36,9.7,229503.53,135279.51,9102.41,2,42,Field Visit,2,0,Write-off
BOR_00112,34,Business,11795.94,1,793130.05,24,9.33,548489.36,236205.06,36353.98,1,24,Phone,2,0,Partial Recovery
BOR_00113,35,Self-employed,5402.3,3,286514.19,24,9.73,140058.23,93538.22,13185.8,2,33,Phone,5,0,Partial Recovery
BOR_00114,59,Business,7336.27,2,456770.03,48,13.77,325897.45,230826.34,12429.65,4,171,Phone,5,1,Partial Recovery
BOR_00115,33,Salaried,6393.91,0,325356.79,12,9.92,294191.28,22943.1,28591.27,3,55,SMS,1,0,Write-off
BOR_00116,38,Salaried,4332.36,0,342257.7,48,12.97,506194.82,28936.57,9176.51,1,18,SMS,3,0,Write-off
BOR_00117,34,Salaried,7346.25,2,223090.1,36,8.26,313808.99,114926.07,7017.9,3,53,Phone,8,0,Full Recovery
BOR_00118,23,Salaried,4591.43,1,268421.79,84,14.78,347130.96,113538.38,5146.43,3,149,Phone,3,0,Partial Recovery
BOR_00119,46,Self-employed,4478.09,1,255375.08,36,14.62,340592.67,133371.18,8804.6,4,39,Email,6,0,Partial Recovery
BOR_00120,42,Unemployed,1223.86,3,77935.91,12,13.73,54693.38,40294.34,6987.59,3,42,Email,1,0,Write-off
BOR_00121,42,Salaried,1858.25,2,78069.17,36,13.64,76989.2,21810.77,2654.73,1,18,Field Visit,3,0,Partial Recovery
BOR_00122,25,Salaried,2746.47,0,162335.97,36,9.15,217952.29,98034.83,5173.57,2,31,Field Visit,2,0,Write-off
BOR_00123,49,Salaried,3134.58,0,172984.84,60,12.65,101961.79,97195.36,3904.84,2,24,SMS,1,0,Partial Recovery
BOR_00124,20,Unemployed,857.18,2,40217.38,84,21.12,58019.35,37902.24,920.44,2,3,Email,2,0,Full Recovery
BOR_00125,40,Salaried,8465.03,0,342557.92,12,13.19,213646.22,125959.61,30626.75,3,174,SMS,3,0,Write-off
BOR_00126,56,Self-employed,11493.9,3,820440.51,84,14.23,739728.85,218523.98,15478.97,2,57,Field Visit,4,1,Partial Recovery
BOR_00127,25,Salaried,6276.1,1,376733.95,36,8.19,401111.29,250438.41,11839.37,0,0,SMS,2,0,Partial Recovery
BOR_00128,29,Salaried,6001.69,1,254068.43,36,12.4,362273.13,128677.53,8487.27,1,17,Field Visit,2,1,Full Recovery
BOR_00129,35,Retired,559.15,3,32354.09,48,14.8,11871.5,9376.1,897.12,1,44,SMS,3,0,Write-off
BOR_00130,29,Retired,1565.86,1,91207.69,12,13.31,102079.32,48521.71,8159.66,1,35,SMS,5,0,Write-off
BOR_00131,19,Salaried,2739.55,0,184941.39,48,14.93,144480.53,114872.07,5140.92,1,14,Email,3,0,Partial Recovery
BOR_00132,35,Retired,1503.32,4,65987.65,36,12.64,26582.18,33283.81,2211.84,3,69,SMS,3,0,Write-off
BOR_00133,24,Self-employed,2863.71,1,148999.4,60,12.79,173570.93,89058.1,3374.16,0,0,Phone,2,1,Partial Recovery
BOR_00134,39,Business,5583.73,3,413877.44,24,14.11,342828.51,131516.98,19893.65,2,29,Field Visit,1,0,Write-off
BOR_00135,25,Salaried,1041.4,1,34353.83,60,15.29,34060.48,23555.01,822.53,1,25,Field Visit,3,0,Full Recovery
BOR_00136,50,Self-employed,7043.73,3,322105.45,36,14.58,156012.29,191612.34,11100.52,2,17,Field Visit,4,0,Write-off
BOR_00137,27,Salaried,2854.51,1,92455.05,36,16.85,66744.31,18957.67,3289.5,1,48,Email,2,0,Full Recovery
BOR_00138,31,Self-employed,4598.12,0,228998.76,24,10.97,212060.04,143198.34,10670.33,1,29,Phone,1,0,Write-off
BOR_00139,43,Salaried,9148.17,1,450799.86,84,13.33,273800.61,158395.31,8282.9,1,39,Phone,5,0,Partial Recovery
BOR_00140,22,Salaried,2528.98,2,139741.01,120,11.26,41581.17,136460.25,1945.31,2,11,SMS,2,0,Partial Recovery
BOR_00141,37,Salaried,500.0,1,16455.95,24,16.36,23737.06,6220.36,808.57,2,32,Field Visit,2,0,Full Recovery
BOR_00142,48,Self-employed,3941.99,0,149185.03,84,13.37,114454.95,35808.97,2743.9,2,19,SMS,5,1,Full Recovery
BOR_00143,18,Salaried,5761.54,1,250133.37,48,13.05,275366.97,82698.77,6716.68,2,32,Phone,1,0,Partial Recovery
BOR_00144,36,Self-employed,8895.87,1,685550.74,60,11.61,422690.56,336645.21,15113.67,1,47,Legal Notice,3,1,Partial Recovery
BOR_00145,37,Retired,1016.36,2,69857.12,48,14.42,37212.72,27373.61,1923.76,1,46,Legal Notice,6,0,Write-off
BOR_00146,42,Salaried,5993.4,3,214186.67,24,11.71,130813.75,131623.87,10053.2,2,21,Email,4,0,Write-off
BOR_00147,22,Self-employed,2269.38,5,98588.81,12,15.78,60513.32,19481.84,8934.91,2,42,SMS,6,0,Partial Recovery
BOR_00148,21,Salaried,3830.48,3,121136.45,48,11.77,98880.07,31073.73,3176.58,3,171,Field Visit,1,0,Partial Recovery
BOR_00149,40,Business,14933.03,2,1171357.85,36,8.45,954896.54,577582.44,36947.15,2,38,SMS,3,0,Partial Recovery
BOR_00150,37,Salaried,1994.06,3,114826.71,60,14.98,85629.8,19044.92,2730.39,1,9,Legal Notice,5,0,Full Recovery
BOR_00151,37,Self-employed,4634.35,2,238748.5,36,14.35,48269.86,169087.16,8200.1,2,41,Phone,3,0,Write-off
BOR_00152,38,Business,8403.08,2,332443.53,48,10.84,247375.62,94188.09,8566.37,2,6,SMS,4,0,Full Recovery
BOR_00153,28,Unemployed,1542.89,1,49456.08,36,14.65,12544.82,21638.72,1706.0,2,52,SMS,1,1,Partial Recovery
BOR_00154,37,Self-employed,4244.96,1,272970.14,84,9.88,51646.95,48861.69,4514.2,2,31,Field Visit,7,1,Full Recovery
BOR_00155,37,Salaried,5616.1,1,396346.77,12,11.77,554476.68,56738.4,35171.72,2,23,Field Visit,2,0,Write-off
BOR_00156,27,Self-employed,3020.88,4,101282.52,84,13.36,91906.29,80316.16,1862.66,1,3,Legal Notice,4,0,Full Recovery
BOR_00157,53,Business,9368.86,3,589277.64,60,12.53,582934.12,223587.13,13267.32,0,0,Email,4,0,Partial Recovery
BOR_00158,39,Self-employed,3142.02,1,246482.68,48,14.47,148552.77,63320.48,6794.08,1,23,Field Visit,1,0,Write-off
BOR_00159,23,Salaried,4994.52,1,278976.6,24,11.7,380376.6,194466.98,13092.99,5,165,Email,3,0,Write-off
BOR_00160,41,Unemployed,815.19,3,29627.15,48,16.82,28350.09,27652.95,852.21,4,33,Email,3,0,Partial Recovery
BOR_00161,25,Self-employed,4942.75,1,302144.29,12,9.36,348600.42,133407.86,26473.98,3,101,Phone,6,0,Partial Recovery
BOR_00162,42,Self-employed,3926.84,1,214274.16,84,10.69,118460.12,143411.67,3633.53,2,56,Field Visit,4,0,Partial Recovery
BOR_00163,46,Salaried,8702.52,1,445730.93,48,12.23,641860.49,328727.06,11787.45,2,24,Legal Notice,3,0,Partial Recovery
BOR_00164,26,Self-employed,3871.52,1,174010.33,36,9.52,214153.12,103142.4,5576.01,2,26,Phone,3,0,Partial Recovery
BOR_00165,44,Salaried,1453.94,0,113844.68,24,10.6,145826.23,44963.09,5285.09,2,35,Phone,3,0,Write-off
BOR_00166,39,Self-employed,7154.8,3,223887.75,24,13.46,57828.28,193954.88,10692.82,0,0,Field Visit,3,1,Partial Recovery
BOR_00167,43,Salaried,3188.54,1,127728.78,12,11.32,51914.7,32721.79,11308.03,1,28,SMS,4,0,Write-off
BOR_00168,53,Self-employed,2838.7,0,86576.01,12,16.46,37092.62,70129.18,7874.02,1,10,Legal Notice,3,0,Write-off
BOR_00169,32,Retired,1523.47,2,104469.99,84,13.98,42452.83,41439.33,1956.71,0,0,Phone,1,0,Partial Recovery
BOR_00170,27,Salaried,7748.88,1,497158.43,12,13.48,637910.07,184275.27,44516.86,4,33,Phone,4,0,Write-off
BOR_00171,26,Retired,500.0,2,36137.77,60,17.08,1728.37,5664.24,899.77,2,37,Email,5,0,Write-off
BOR_00172,26,Salaried,11275.5,1,469569.11,60,13.09,53601.31,195346.85,10705.82,0,0,Phone,5,1,Full Recovery
BOR_00173,34,Business,10168.17,2,803672.45,24,9.58,330206.75,242020.93,36929.68,2,55,Phone,3,0,Write-off
BOR_00174,38,Business,7669.72,0,311313.09,60,9.31,93334.61,231343.0,6509.04,0,0,Phone,3,0,Partial Recovery
BOR_00175,37,Self-employed,3862.76,2,128757.51,120,8.17,44780.5,83803.67,1574.03,3,46,Phone,5,0,Full Recovery
BOR_00176,43,Self-employed,4713.89,1,338278.79,36,13.89,404890.88,197927.48,11543.72,2,13,Phone,3,0,Write-off
BOR_00177,35,Business,8563.37,2,494371.97,84,14.48,417591.0,171507.53,9397.04,1,22,Legal Notice,2,0,Full Recovery
BOR_00178,49,Salaried,7548.52,3,229889.41,12,9.75,1989.92,169886.14,20184.48,1,49,Phone,3,0,Partial Recovery
BOR_00179,32,Salaried,6111.21,1,387852.59,60,11.22,249770.92,92257.85,8475.39,3,70,Email,1,0,Partial Recovery
BOR_00180,62,Self-employed,5068.74,2,305891.77,24,13.63,187152.96,99147.84,14634.02,3,162,Field Visit,4,0,Partial Recovery
BOR_00181,41,Business,6407.98,1,502170.73,24,11.46,85829.97,175359.71,23513.37,3,38,SMS,5,0,Write-off
BOR_00182,26,Business,6546.18,3,224571.98,48,11.52,227763.75,140655.67,5861.0,0,0,SMS,3,0,Full Recovery
BOR_00183,24,Business,5132.22,1,191030.6,36,10.34,201183.07,56745.63,6194.44,0,0,SMS,3,0,Full Recovery
BOR_00184,39,Salaried,7267.54,1,407647.55,48,8.06,440805.53,252505.94,9963.25,3,171,Field Visit,1,1,Full Recovery
BOR_00185,32,Business,8780.67,1,597527.23,48,10.56,652921.84,33517.29,15317.19,3,114,Field Visit,2,0,Write-off
BOR_00186,42,Salaried,500.0,1,16323.4,60,21.55,1.29,14529.09,446.68,1,40,SMS,2,0,Partial Recovery
BOR_00187,39,Self-employed,5639.75,0,236912.33,36,9.29,338993.4,88542.23,7565.4,4,85,Field Visit,6,0,Partial Recovery
BOR_00188,34,Salaried,5389.47,1,317153.24,24,10.49,387343.42,225158.64,14707.34,0,0,Email,5,0,Partial Recovery
BOR_00189,26,Salaried,4962.58,1,321826.7,48,10.71,436388.17,16212.27,8271.79,1,47,Phone,4,0,Full Recovery
BOR_00190,19,Salaried,3378.37,1,172339.06,48,8.04,4043.93,19204.37,4210.62,3,55,Field Visit,6,0,Partial Recovery
BOR_00191,30,Salaried,7248.23,1,245899.62,60,8.55,344453.29,210307.06,5050.36,2,3,Email,4,0,Full Recovery
BOR_00192,43,Self-employed,6368.82,3,416139.59,84,9.89,505477.6,83460.84,6885.81,2,24,Legal Notice,1,1,Partial Recovery
BOR_00193,37,Salaried,3454.24,0,167615.74,48,14.17,210496.66,102828.44,4594.82,1,51,Phone,6,1,Full Recovery
BOR_00194,22,Salaried,4651.28,1,358592.01,48,8.61,50178.17,264385.67,8856.7,4,143,Email,2,0,Partial Recovery
BOR_00195,36,Salaried,3056.69,2,193970.32,36,11.29,214951.52,48501.65,6377.46,2,31,Legal Notice,2,0,Write-off
BOR_00196,38,Salaried,2240.76,0,72729.41,24,16.32,104721.26,58758.72,3572.33,2,34,Phone,3,0,Partial Recovery
BOR_00197,26,Salaried,3746.57,2,197436.29,36,10.69,200954.81,113265.51,6434.69,1,8,Legal Notice,5,0,Write-off
BOR_00198,36,Salaried,6724.79,1,489026.34,48,9.91,418529.34,344012.99,12380.96,4,156,Legal Notice,3,0,Write-off
BOR_00199,35,Self-employed,6382.81,3,228983.99,24,14.45,324801.08,84597.2,11042.41,5,148,Field Visit,3,0,Write-off
BOR_00200,23,Self-employed,4226.17,1,249679.81,36,12.17,165888.69,58772.96,8313.8,2,39,SMS,1,0,Partial Recovery
BOR_00201,38,Self-employed,5812.74,4,280763.53,60,11.66,252389.67,177601.25,6197.72,2,28,SMS,2,0,Partial Recovery
BOR_00202,40,Salaried,6032.36,0,216183.95,24,11.76,154465.04,160009.42,10152.12,0,0,Field Visit,3,0,Partial Recovery
BOR_00203,45,Salaried,3717.04,2,285574.4,36,14.09,399595.5,157920.61,9772.3,3,175,Field Visit,1,0,Write-off
BOR_00204,45,Business,8295.77,1,565811.0,24,8.25,64574.36,491851.73,25655.79,2,53,SMS,1,0,Write-off
BOR_00205,21,Self-employed,4800.82,1,168472.09,48,9.4,126637.02,119440.99,4224.32,5,127,Legal Notice,4,0,Partial Recovery
BOR_00206,25,Salaried,6508.58,6,316079.85,36,13.08,325697.74,267754.69,10661.9,6,192,SMS,2,0,Partial Recovery
BOR_00207,40,Salaried,7377.83,2,263104.82,36,11.4,312531.64,239595.3,8663.08,3,123,Legal Notice,4,1,Partial Recovery
